code,ts_code,name,source,effective_date,fetched_at
301308,301308.SZ,江波龙,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
302132,302132.SZ,中航成飞,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600000,600000.SH,浦发银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600009,600009.SH,上海机场,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600010,600010.SH,包钢股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600011,600011.SH,华能国际,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600015,600015.SH,华夏银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600016,600016.SH,民生银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600018,600018.SH,上港集团,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600019,600019.SH,宝钢股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600023,600023.SH,浙能电力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600025,600025.SH,华能水电,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600026,600026.SH,中远海能,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600027,600027.SH,华电国际,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600028,600028.SH,中国石化,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600029,600029.SH,南方航空,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600030,600030.SH,中信证券,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600031,600031.SH,三一重工,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600036,600036.SH,招商银行,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600039,600039.SH,四川路桥,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600048,600048.SH,保利发展,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600050,600050.SH,中国联通,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600061,600061.SH,国投资本,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600066,600066.SH,宇通客车,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600085,600085.SH,同仁堂,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600089,600089.SH,特变电工,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600104,600104.SH,上汽集团,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600111,600111.SH,北方稀土,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600115,600115.SH,中国东航,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600118,600118.SH,中国卫星,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600150,600150.SH,中国船舶,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600160,600160.SH,巨化股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600176,600176.SH,中国巨石,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600183,600183.SH,生益科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600188,600188.SH,兖矿能源,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600196,600196.SH,复星医药,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600219,600219.SH,南山铝业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600221,600221.SH,海航控股,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600233,600233.SH,圆通速递,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600276,600276.SH,恒瑞医药,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600309,600309.SH,万华化学,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600346,600346.SH,恒力石化,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600362,600362.SH,江西铜业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600372,600372.SH,中航机载,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600406,600406.SH,国电南瑞,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600415,600415.SH,小商品城,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600426,600426.SH,华鲁恒升,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600436,600436.SH,片仔癀,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600438,600438.SH,通威股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600460,600460.SH,士兰微,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600482,600482.SH,中国动力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600489,600489.SH,中金黄金,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600515,600515.SH,海南机场,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600519,600519.SH,贵州茅台,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600522,600522.SH,中天科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600547,600547.SH,山东黄金,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600549,600549.SH,厦门钨业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600570,600570.SH,恒生电子,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600584,600584.SH,长电科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600585,600585.SH,海螺水泥,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600588,600588.SH,用友网络,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600600,600600.SH,青岛啤酒,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600660,600660.SH,福耀玻璃,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600674,600674.SH,川投能源,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600690,600690.SH,海尔智家,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600741,600741.SH,华域汽车,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600760,600760.SH,中航沈飞,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600795,600795.SH,国电电力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600803,600803.SH,新奥股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600809,600809.SH,山西汾酒,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600845,600845.SH,宝信软件,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600875,600875.SH,东方电气,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600886,600886.SH,国投电力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600887,600887.SH,伊利股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600893,600893.SH,航发动力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
600900,600900.SH,长江电力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
